slide.type.id,slide.type.name,slide.type.position,slide.loop.var,slide.graph.type
1,district cover,1,,
2,presentation notes and instructions,2,,
3,district section title participation,5,,
4,district section title performance,8,,
5,school section title,11,school,
6,district dashboard,3,,"a,c"
7,school dashboard,4,school,"b,d"
8,district participation overall,6,,e
9,district participation by school,7,,f
10,district performance by school,9,,g
11,district performance by school by module,10,module,h
12,school performance by ans.opt by module,12,"school,module",i
